activity_id,date,deal_id,owner,activity_type,outcome,duration_min
ACT-000032,2024-12-16,D-00355,Ana (AE),Demo,Demo Scheduled,6
ACT-000033,2025-11-22,D-00484,Eva (SDR),Demo,Sent Proposal,55
ACT-000034,2025-05-13,D-00234,Carla (AE),WhatsApp,Connected,0
ACT-000035,2026-01-09,D-00240,Diego (AE),Meeting,Follow-up,64
ACT-000036,2024-12-11,D-00473,Bruno (AE),WhatsApp,No Answer,0
ACT-000037,2025-04-01,D-00193,Eva (SDR),WhatsApp,Follow-up,0
ACT-000038,2025-03-19,D-00215,Ana (AE),Email,Follow-up,0
ACT-000039,2025-11-15,D-00384,Eva (SDR),Meeting,Connected,6
ACT-000040,2025-07-14,D-00512,Bruno (AE),Email,No Answer,0
ACT-000041,2025-10-26,D-00414,Eva (SDR),Email,Follow-up,0
ACT-000042,2025-04-13,D-00033,Carla (AE),Call,Sent Proposal,47
ACT-000043,2025-08-25,D-00401,Diego (AE),Call,No Answer,73
ACT-000044,2025-02-07,D-00396,Carla (AE),Email,No Answer,0
ACT-000045,2025-11-14,D-00463,Ana (AE),Call,Connected,75
ACT-000046,2024-10-07,D-00182,Eva (SDR),WhatsApp,Follow-up,0
ACT-000047,2025-10-22,D-00028,Ana (AE),Call,Sent Proposal,54
ACT-000048,2025-09-21,D-00291,Ana (AE),Call,Follow-up,13
ACT-000049,2026-02-04,D-00466,Carla (AE),Email,Connected,0
ACT-000050,2026-02-18,D-00335,Carla (AE),Email,Sent Proposal,0
ACT-000051,2026-02-17,D-00133,Carla (AE),Email,Follow-up,0
ACT-000052,2025-08-14,D-00399,Ana (AE),Call,Connected,60
ACT-000053,2025-10-22,D-00487,Ana (AE),Meeting,Sent Proposal,30
ACT-000054,2025-02-13,D-00515,Carla (AE),Email,Connected,0
ACT-000055,2025-09-29,D-00147,Eva (SDR),Call,No Answer,36
ACT-000056,2025-09-14,D-00337,Ana (AE),Demo,No Answer,10
ACT-000057,2025-02-18,D-00094,Diego (AE),Meeting,Sent Proposal,49
ACT-000058,2024-12-21,D-00305,Diego (AE),Meeting,Demo Scheduled,27
ACT-000059,2025-11-24,D-00426,Carla (AE),Call,Follow-up,60
ACT-000060,2025-10-09,D-00469,Diego (AE),Demo,Connected,17
ACT-000061,2025-07-12,D-00403,Carla (AE),Call,Demo Scheduled,40
ACT-000062,2026-01-13,D-00299,Carla (AE),Demo,Follow-up,32
ACT-000063,2025-02-27,D-00506,Bruno (AE),Demo,Follow-up,52
ACT-000064,2024-10-21,D-00079,Diego (AE),Meeting,Demo Scheduled,57
ACT-000065,2025-06-10,D-00462,Diego (AE),Email,Follow-up,0
ACT-000066,2024-09-23,D-00474,Bruno (AE),Call,Follow-up,64
ACT-000067,2025-12-27,D-00391,Ana (AE),WhatsApp,Demo Scheduled,0
ACT-000068,2024-12-03,D-00407,Eva (SDR),Call,Connected,22
ACT-000069,2026-02-18,D-00335,Carla (AE),Email,Connected,0
ACT-000070,2025-07-06,D-00249,Diego (AE),Call,Demo Scheduled,25
ACT-000071,2024-09-19,D-00175,Carla (AE),Meeting,Connected,20
ACT-000072,2025-07-02,D-00401,Diego (AE),Call,Demo Scheduled,39
ACT-000073,2025-07-13,D-00158,Carla (AE),Email,Connected,0
ACT-000074,2026-02-09,D-00036,Eva (SDR),Email,Connected,0
ACT-000075,2025-12-23,D-00106,Carla (AE),Meeting,No Answer,5
ACT-000076,2025-10-27,D-00050,Bruno (AE),WhatsApp,Sent Proposal,0
ACT-000077,2025-11-28,D-00384,Eva (SDR),Call,Connected,8
ACT-000078,2026-01-29,D-00015,Bruno (AE),WhatsApp,Follow-up,0
ACT-000079,2025-11-25,D-00065,Eva (SDR),Demo,Connected,26
ACT-000080,2025-09-23,D-00172,Carla (AE),Email,Connected,0
ACT-000081,2026-02-18,D-00335,Carla (AE),Meeting,Connected,31
ACT-000082,2026-01-19,D-00405,Bruno (AE),Call,Connected,50
ACT-000083,2025-06-17,D-00332,Carla (AE),Call,Follow-up,6
ACT-000084,2025-08-16,D-00399,Ana (AE),Email,Connected,0
ACT-000085,2025-12-16,D-00286,Diego (AE),Email,Connected,0
ACT-000086,2026-01-19,D-00224,Ana (AE),Email,Follow-up,0
ACT-000087,2025-05-27,D-00105,Eva (SDR),WhatsApp,Sent Proposal,0
ACT-000088,2024-11-29,D-00176,Diego (AE),Demo,Follow-up,54
ACT-000089,2025-03-04,D-00137,Bruno (AE),Call,Demo Scheduled,45
ACT-000090,2024-12-13,D-00494,Bruno (AE),Email,Follow-up,0
ACT-000091,2025-03-20,D-00460,Carla (AE),Meeting,Follow-up,69
ACT-000092,2025-12-09,D-00014,Ana (AE),Call,Demo Scheduled,20
ACT-000093,2025-05-17,D-00317,Eva (SDR),WhatsApp,Demo Scheduled,0
ACT-000094,2025-05-23,D-00082,Eva (SDR),Call,No Answer,30
ACT-000095,2025-04-15,D-00156,Bruno (AE),Call,Connected,61
ACT-000096,2025-05-26,D-00337,Ana (AE),Email,Follow-up,0
ACT-000097,2026-02-13,D-00041,Diego (AE),WhatsApp,No Answer,0
ACT-000098,2025-09-23,D-00296,Ana (AE),Call,Follow-up,48
ACT-000099,2025-05-07,D-00249,Diego (AE),Meeting,Sent Proposal,36
ACT-000100,2026-02-13,D-00228,Ana (AE),Demo,Follow-up,28
ACT-000101,2026-01-22,D-00453,Carla (AE),Call,Demo Scheduled,13
ACT-000102,2025-09-25,D-00198,Eva (SDR),Meeting,Connected,31
ACT-000103,2025-08-13,D-00129,Diego (AE),Call,Follow-up,31
ACT-000104,2025-03-08,D-00242,Carla (AE),Call,Follow-up,44
ACT-000105,2025-03-24,D-00169,Bruno (AE),Call,Connected,36
ACT-000106,2025-05-29,D-00311,Carla (AE),Meeting,Sent Proposal,30
ACT-000107,2025-12-05,D-00279,Eva (SDR),Call,Sent Proposal,55
ACT-000108,2025-05-31,D-00387,Bruno (AE),Email,No Answer,0
ACT-000109,2025-11-02,D-00444,Eva (SDR),WhatsApp,Demo Scheduled,0
ACT-000110,2025-08-30,D-00021,Ana (AE),Email,Connected,0
ACT-000111,2026-01-17,D-00308,Eva (SDR),Meeting,Follow-up,27
ACT-000112,2025-03-14,D-00264,Diego (AE),Email,No Answer,0
ACT-000113,2025-08-03,D-00385,Eva (SDR),Meeting,Connected,22
ACT-000114,2025-06-24,D-00481,Carla (AE),Call,Connected,6
ACT-000115,2025-08-13,D-00513,Bruno (AE),Email,Sent Proposal,0
ACT-000116,2026-01-12,D-00405,Bruno (AE),Email,No Answer,0
ACT-000117,2026-01-17,D-00073,Ana (AE),Demo,Sent Proposal,20
ACT-000118,2026-01-25,D-00395,Carla (AE),Call,Demo Scheduled,37
ACT-000119,2026-01-07,D-00357,Eva (SDR),WhatsApp,Follow-up,0
ACT-000120,2026-01-13,D-00378,Carla (AE),Call,No Answer,59
ACT-000121,2026-02-14,D-00253,Ana (AE),Email,Sent Proposal,0
ACT-000122,2026-01-26,D-00371,Ana (AE),WhatsApp,Connected,0
ACT-000123,2025-02-14,D-00152,Bruno (AE),Meeting,Sent Proposal,23
ACT-000124,2025-11-19,D-00261,Diego (AE),Meeting,Sent Proposal,25
ACT-000125,2025-03-29,D-00013,Eva (SDR),WhatsApp,Follow-up,0
ACT-000126,2025-01-08,D-00394,Eva (SDR),WhatsApp,Sent Proposal,0
ACT-000127,2026-01-02,D-00083,Eva (SDR),Demo,Demo Scheduled,26
ACT-000128,2025-07-30,D-00438,Diego (AE),Meeting,Follow-up,73
ACT-000129,2026-02-04,D-00392,Ana (AE),WhatsApp,Demo Scheduled,0
ACT-000130,2025-07-14,D-00092,Eva (SDR),Meeting,Demo Scheduled,49
ACT-000131,2025-08-14,D-00147,Eva (SDR),WhatsApp,Sent Proposal,0
ACT-000132,2026-02-08,D-00408,Eva (SDR),Email,Sent Proposal,0
ACT-000133,2025-11-12,D-00504,Bruno (AE),Call,Demo Scheduled,58
ACT-000134,2025-08-02,D-00427,Carla (AE),WhatsApp,Connected,0
ACT-000135,2025-11-21,D-00384,Eva (SDR),WhatsApp,Connected,0
ACT-000136,2026-02-12,D-00187,Ana (AE),Demo,No Answer,32
ACT-000137,2025-04-12,D-00191,Eva (SDR),Call,Connected,29
ACT-000138,2025-02-05,D-00266,Bruno (AE),Email,Sent Proposal,0
ACT-000139,2025-05-09,D-00112,Eva (SDR),Call,Connected,20
ACT-000140,2024-12-07,D-00284,Bruno (AE),Email,Follow-up,0
ACT-000141,2026-02-10,D-00490,Diego (AE),Meeting,Connected,12
ACT-000142,2026-01-13,D-00273,Eva (SDR),Meeting,Demo Scheduled,10
ACT-000143,2025-09-03,D-00100,Ana (AE),Meeting,Connected,71
ACT-000144,2026-02-13,D-00273,Eva (SDR),Email,No Answer,0
ACT-000145,2025-01-16,D-00440,Bruno (AE),Email,Demo Scheduled,0
ACT-000146,2025-01-16,D-00323,Diego (AE),Demo,Follow-up,53
ACT-000147,2026-01-05,D-00059,Carla (AE),Demo,Demo Scheduled,5
ACT-000148,2025-07-11,D-00468,Bruno (AE),WhatsApp,Demo Scheduled,0
ACT-000149,2025-07-03,D-00143,Bruno (AE),Meeting,Demo Scheduled,40
ACT-000150,2025-03-30,D-00255,Diego (AE),Email,Follow-up,0
ACT-000151,2026-01-21,D-00487,Ana (AE),Email,Connected,0
ACT-000152,2025-01-31,D-00330,Diego (AE),Meeting,Demo Scheduled,46
ACT-000153,2026-01-02,D-00455,Bruno (AE),Meeting,No Answer,15
ACT-000154,2025-12-17,D-00357,Eva (SDR),Demo,Sent Proposal,65
ACT-000155,2024-12-25,D-00103,Bruno (AE),Email,Connected,0
ACT-000156,2025-10-18,D-00147,Eva (SDR),Demo,Demo Scheduled,69
ACT-000157,2025-04-10,D-00033,Carla (AE),Email,Connected,0
ACT-000158,2025-01-25,D-00479,Eva (SDR),Demo,Sent Proposal,66
ACT-000159,2025-09-29,D-00247,Ana (AE),Call,Demo Scheduled,16
ACT-000160,2025-06-13,D-00109,Ana (AE),Demo,Connected,46
ACT-000161,2024-11-30,D-00393,Diego (AE),Call,Connected,65
ACT-000162,2026-02-13,D-00127,Bruno (AE),Demo,Follow-up,67
ACT-000163,2026-02-18,D-00093,Eva (SDR),Meeting,Demo Scheduled,13
ACT-000164,2025-11-16,D-00352,Diego (AE),Demo,Follow-up,53
ACT-000165,2025-03-07,D-00448,Eva (SDR),Call,Connected,16
ACT-000166,2025-05-27,D-00115,Bruno (AE),Email,Follow-up,0
ACT-000167,2025-01-11,D-00193,Eva (SDR),Meeting,Connected,45
ACT-000168,2025-09-13,D-00390,Eva (SDR),WhatsApp,No Answer,0
ACT-000169,2025-11-14,D-00195,Diego (AE),Demo,No Answer,51
ACT-000170,2025-07-30,D-00130,Diego (AE),Meeting,Follow-up,18
ACT-000171,2025-11-27,D-00405,Bruno (AE),Meeting,No Answer,23
ACT-000172,2025-09-18,D-00304,Bruno (AE),Email,No Answer,0
ACT-000173,2025-09-06,D-00291,Ana (AE),WhatsApp,Demo Scheduled,0
ACT-000174,2026-02-13,D-00036,Eva (SDR),Email,Sent Proposal,0
ACT-000175,2026-02-15,D-00127,Bruno (AE),Demo,Follow-up,66
ACT-000176,2025-02-24,D-00221,Diego (AE),Email,Sent Proposal,0
ACT-000177,2025-01-13,D-00061,Eva (SDR),Call,Follow-up,33
ACT-000178,2025-07-28,D-00054,Eva (SDR),Demo,Follow-up,43
ACT-000179,2024-10-18,D-00164,Bruno (AE),Meeting,No Answer,65
ACT-000180,2025-12-08,D-00357,Eva (SDR),Email,Follow-up,0
ACT-000181,2025-08-09,D-00290,Bruno (AE),Meeting,Connected,75
ACT-000182,2025-12-31,D-00404,Eva (SDR),Call,Demo Scheduled,11
ACT-000183,2025-04-16,D-00312,Ana (AE),Meeting,Follow-up,61
ACT-000184,2024-12-04,D-00495,Bruno (AE),Demo,Connected,30
ACT-000185,2025-06-17,D-00010,Ana (AE),WhatsApp,Follow-up,0
ACT-000186,2025-03-16,D-00152,Bruno (AE),Demo,No Answer,26
ACT-000187,2025-11-30,D-00058,Bruno (AE),Email,No Answer,0
ACT-000188,2025-07-13,D-00054,Eva (SDR),Demo,Follow-up,60
ACT-000189,2025-09-09,D-00153,Ana (AE),WhatsApp,Connected,0
ACT-000190,2025-03-23,D-00122,Carla (AE),Email,No Answer,0
ACT-000191,2025-07-13,D-00177,Diego (AE),WhatsApp,Sent Proposal,0
ACT-000192,2025-10-13,D-00092,Eva (SDR),Demo,Follow-up,40
ACT-000193,2026-02-12,D-00456,Diego (AE),Call,Connected,20
ACT-000194,2025-04-17,D-00501,Ana (AE),Call,Follow-up,66
ACT-000195,2026-01-28,D-00281,Eva (SDR),WhatsApp,Demo Scheduled,0
ACT-000196,2026-01-02,D-00186,Eva (SDR),Email,Follow-up,0
ACT-000197,2025-09-15,D-00445,Ana (AE),Meeting,Connected,13
ACT-000198,2025-08-06,D-00190,Diego (AE),WhatsApp,Connected,0
ACT-000199,2024-12-24,D-00501,Ana (AE),Meeting,Follow-up,20
ACT-000200,2025-02-13,D-00213,Diego (AE),Call,Follow-up,28
ACT-000201,2025-11-03,D-00006,Eva (SDR),Email,No Answer,0
ACT-000202,2026-02-01,D-00041,Diego (AE),Meeting,Follow-up,16
ACT-000203,2025-03-06,D-00263,Eva (SDR),Call,Connected,43
ACT-000204,2025-09-26,D-00373,Ana (AE),Call,Sent Proposal,5
ACT-000205,2025-03-12,D-00255,Diego (AE),Call,Sent Proposal,42
ACT-000206,2026-02-09,D-00456,Diego (AE),Meeting,Follow-up,71
ACT-000207,2025-12-14,D-00361,Diego (AE),Meeting,Connected,17
ACT-000208,2025-03-07,D-00046,Carla (AE),Call,Connected,32
ACT-000209,2025-05-24,D-00138,Ana (AE),Meeting,Follow-up,40
ACT-000210,2025-05-24,D-00132,Ana (AE),Email,Follow-up,0
ACT-000211,2025-01-07,D-00267,Bruno (AE),Meeting,Connected,63
ACT-000212,2026-01-10,D-00086,Carla (AE),Meeting,Sent Proposal,23
ACT-000213,2025-05-26,D-00209,Ana (AE),Meeting,Connected,29
ACT-000214,2025-02-03,D-00382,Ana (AE),Meeting,Demo Scheduled,25
ACT-000215,2025-02-13,D-00430,Carla (AE),Email,Demo Scheduled,0
ACT-000216,2025-01-19,D-00389,Ana (AE),Demo,Connected,39
ACT-000217,2026-01-23,D-00128,Ana (AE),Meeting,No Answer,47
ACT-000218,2025-09-17,D-00092,Eva (SDR),Demo,Demo Scheduled,23
ACT-000219,2025-02-17,D-00232,Diego (AE),Call,No Answer,33
ACT-000220,2025-05-01,D-00388,Bruno (AE),WhatsApp,Connected,0
ACT-000221,2026-01-10,D-00314,Carla (AE),WhatsApp,No Answer,0
ACT-000222,2026-01-23,D-00358,Carla (AE),Meeting,Connected,39
ACT-000223,2025-11-28,D-00102,Carla (AE),Call,Sent Proposal,54
ACT-000224,2025-12-28,D-00186,Eva (SDR),WhatsApp,Follow-up,0
ACT-000225,2025-07-02,D-00413,Diego (AE),Meeting,Connected,70
ACT-000226,2026-02-18,D-00160,Ana (AE),Call,No Answer,39
ACT-000227,2025-04-10,D-00055,Carla (AE),WhatsApp,Connected,0
ACT-000228,2026-02-04,D-00429,Ana (AE),Email,No Answer,0
ACT-000229,2025-09-08,D-00363,Bruno (AE),Meeting,Connected,59
ACT-000230,2025-04-26,D-00235,Ana (AE),Meeting,Connected,44
ACT-000231,2025-02-02,D-00417,Ana (AE),WhatsApp,Follow-up,0
ACT-000232,2024-11-25,D-00079,Diego (AE),Demo,Connected,12
ACT-000233,2026-01-28,D-00087,Ana (AE),Meeting,No Answer,6
ACT-000234,2025-12-25,D-00435,Diego (AE),Demo,Connected,68
ACT-000235,2026-02-10,D-00128,Ana (AE),Call,Connected,5
ACT-000236,2026-02-17,D-00436,Diego (AE),Meeting,No Answer,72
ACT-000237,2025-04-22,D-00044,Carla (AE),Email,Connected,0
ACT-000238,2024-12-06,D-00231,Eva (SDR),Call,Demo Scheduled,70
ACT-000239,2025-07-17,D-00362,Carla (AE),Email,No Answer,0
ACT-000240,2025-02-17,D-00383,Bruno (AE),Email,Follow-up,0
ACT-000241,2025-07-02,D-00121,Eva (SDR),Email,Connected,0
ACT-000242,2026-01-03,D-00219,Carla (AE),WhatsApp,Follow-up,0
ACT-000243,2025-02-14,D-00223,Bruno (AE),Demo,Sent Proposal,70
ACT-000244,2025-04-12,D-00037,Eva (SDR),Demo,Demo Scheduled,12
ACT-000245,2025-11-20,D-00365,Diego (AE),Meeting,No Answer,50
ACT-000246,2025-12-24,D-00110,Diego (AE),Email,Follow-up,0
ACT-000247,2025-10-18,D-00412,Ana (AE),Call,No Answer,30
ACT-000248,2026-02-12,D-00087,Ana (AE),Meeting,Connected,20
ACT-000249,2026-01-25,D-00500,Bruno (AE),Call,Follow-up,33
ACT-000250,2025-07-27,D-00482,Bruno (AE),Email,No Answer,0
ACT-000251,2026-02-14,D-00187,Ana (AE),WhatsApp,Connected,0
ACT-000252,2025-06-09,D-00450,Carla (AE),Call,No Answer,60
ACT-000253,2025-09-13,D-00006,Eva (SDR),Demo,Follow-up,19
ACT-000254,2025-10-18,D-00195,Diego (AE),Call,No Answer,47
ACT-000255,2025-04-19,D-00033,Carla (AE),Meeting,Sent Proposal,39
ACT-000256,2025-05-08,D-00122,Carla (AE),Email,No Answer,0
ACT-000257,2025-12-14,D-00131,Carla (AE),WhatsApp,Demo Scheduled,0
ACT-000258,2025-09-27,D-00410,Eva (SDR),WhatsApp,Follow-up,0
ACT-000259,2025-07-26,D-00399,Ana (AE),Call,Connected,7
ACT-000260,2025-04-27,D-00130,Diego (AE),Email,Connected,0
ACT-000261,2025-02-16,D-00243,Diego (AE),Meeting,No Answer,6
ACT-000262,2025-10-31,D-00445,Ana (AE),Email,No Answer,0
ACT-000263,2024-12-24,D-00440,Bruno (AE),Meeting,Follow-up,28
ACT-000264,2025-04-19,D-00256,Carla (AE),WhatsApp,Demo Scheduled,0
ACT-000265,2026-02-18,D-00254,Carla (AE),WhatsApp,Connected,0
ACT-000266,2026-02-01,D-00106,Carla (AE),WhatsApp,Follow-up,0
ACT-000267,2025-11-20,D-00194,Bruno (AE),Call,Connected,9
ACT-000268,2025-11-25,D-00281,Eva (SDR),Demo,No Answer,30
ACT-000269,2024-12-20,D-00094,Diego (AE),Email,Follow-up,0
ACT-000270,2025-10-26,D-00237,Carla (AE),Email,No Answer,0
ACT-000271,2025-06-09,D-00438,Diego (AE),Email,Connected,0
ACT-000272,2025-05-10,D-00288,Bruno (AE),WhatsApp,Connected,0
ACT-000273,2025-03-12,D-00049,Ana (AE),Call,Connected,46
ACT-000274,2025-02-22,D-00218,Carla (AE),Email,Sent Proposal,0
ACT-000275,2025-05-02,D-00104,Eva (SDR),Call,Sent Proposal,51
ACT-000276,2026-01-30,D-00343,Diego (AE),Call,Follow-up,75
ACT-000277,2025-03-17,D-00134,Ana (AE),Email,Demo Scheduled,0
ACT-000278,2024-12-11,D-00381,Ana (AE),Meeting,Connected,54
ACT-000279,2025-04-23,D-00090,Carla (AE),Call,Follow-up,20
ACT-000280,2025-04-27,D-00043,Carla (AE),Demo,Demo Scheduled,29
ACT-000281,2026-01-04,D-00198,Eva (SDR),Demo,Connected,74
ACT-000282,2025-10-28,D-00352,Diego (AE),WhatsApp,Sent Proposal,0
ACT-000283,2025-05-30,D-00207,Carla (AE),WhatsApp,Connected,0
ACT-000284,2025-04-29,D-00197,Eva (SDR),Meeting,Connected,49
ACT-000285,2025-11-25,D-00375,Eva (SDR),Meeting,Connected,60
ACT-000286,2026-01-15,D-00070,Ana (AE),Email,Sent Proposal,0
ACT-000287,2025-08-14,D-00516,Ana (AE),Call,Connected,21
ACT-000288,2025-06-15,D-00297,Ana (AE),Demo,Connected,29
ACT-000289,2026-01-26,D-00408,Eva (SDR),Meeting,Demo Scheduled,14
ACT-000290,2025-01-27,D-00170,Ana (AE),WhatsApp,No Answer,0
ACT-000291,2025-12-12,D-00400,Bruno (AE),Meeting,Connected,5
ACT-000292,2025-03-08,D-00164,Bruno (AE),Call,Follow-up,70
ACT-000293,2025-07-04,D-00467,Ana (AE),WhatsApp,Follow-up,0
ACT-000294,2025-05-12,D-00311,Carla (AE),Email,Connected,0
ACT-000295,2025-03-05,D-00122,Carla (AE),Call,Follow-up,42
ACT-000296,2026-02-17,D-00041,Diego (AE),Call,Demo Scheduled,22
ACT-000297,2025-05-08,D-00277,Ana (AE),Meeting,Connected,31
ACT-000298,2025-03-11,D-00119,Bruno (AE),Meeting,Follow-up,52
ACT-000299,2025-07-19,D-00333,Diego (AE),Demo,Demo Scheduled,38
ACT-000300,2025-03-23,D-00137,Bruno (AE),Demo,Connected,12
ACT-000301,2025-04-02,D-00011,Eva (SDR),Call,Sent Proposal,27
ACT-000302,2025-03-02,D-00263,Eva (SDR),Meeting,Sent Proposal,18
ACT-000303,2026-02-01,D-00392,Ana (AE),Demo,Follow-up,75
ACT-000304,2025-04-07,D-00212,Ana (AE),Call,Connected,55
ACT-000305,2026-02-16,D-00160,Ana (AE),Call,Follow-up,52
ACT-000306,2025-04-11,D-00152,Bruno (AE),Call,Connected,28
ACT-000307,2025-10-14,D-00181,Bruno (AE),Meeting,Sent Proposal,28
ACT-000308,2025-06-03,D-00289,Diego (AE),Email,Demo Scheduled,0
ACT-000309,2026-02-06,D-00404,Eva (SDR),Meeting,Connected,14
ACT-000310,2024-12-28,D-00437,Bruno (AE),Email,Follow-up,0
ACT-000311,2025-03-27,D-00413,Diego (AE),WhatsApp,Connected,0
ACT-000312,2025-08-01,D-00013,Eva (SDR),Call,No Answer,19
ACT-000313,2025-10-22,D-00014,Ana (AE),Call,Demo Scheduled,39
ACT-000314,2025-11-14,D-00147,Eva (SDR),Meeting,Demo Scheduled,6
ACT-000315,2025-07-10,D-00109,Ana (AE),WhatsApp,No Answer,0
ACT-000316,2026-01-06,D-00088,Diego (AE),Call,Demo Scheduled,61
ACT-000317,2025-12-24,D-00168,Diego (AE),Email,Connected,0
ACT-000318,2026-01-26,D-00058,Bruno (AE),Meeting,Follow-up,20
ACT-000319,2024-11-16,D-00022,Eva (SDR),Call,Connected,70
ACT-000320,2025-10-28,D-00426,Carla (AE),Call,Connected,34
ACT-000321,2025-09-02,D-00438,Diego (AE),Call,Follow-up,33
ACT-000322,2024-10-27,D-00394,Eva (SDR),Email,Sent Proposal,0
ACT-000323,2026-01-06,D-00230,Bruno (AE),Demo,Connected,14
ACT-000324,2025-07-01,D-00342,Bruno (AE),Email,Sent Proposal,0
ACT-000325,2026-01-12,D-00087,Ana (AE),Meeting,Connected,72
ACT-000326,2026-02-09,D-00343,Diego (AE),Call,No Answer,43
ACT-000327,2025-03-26,D-00294,Bruno (AE),Demo,Connected,68
ACT-000328,2026-02-12,D-00378,Carla (AE),Email,Sent Proposal,0
ACT-000329,2024-09-25,D-00079,Diego (AE),Demo,Sent Proposal,23
ACT-000330,2025-02-18,D-00328,Ana (AE),Email,Follow-up,0
ACT-000331,2026-01-14,D-00490,Diego (AE),Call,No Answer,40
ACT-000332,2025-01-24,D-00149,Ana (AE),Email,Connected,0
ACT-000333,2025-12-02,D-00395,Carla (AE),Email,No Answer,0
ACT-000334,2025-09-23,D-00424,Diego (AE),WhatsApp,No Answer,0
ACT-000335,2025-02-05,D-00252,Ana (AE),Email,No Answer,0
ACT-000336,2025-12-12,D-00505,Ana (AE),Meeting,Connected,15
ACT-000337,2026-02-13,D-00432,Carla (AE),Meeting,Follow-up,33
ACT-000338,2025-05-26,D-00090,Carla (AE),Email,Connected,0
ACT-000339,2025-08-27,D-00018,Carla (AE),Meeting,Sent Proposal,19
ACT-000340,2025-04-15,D-00062,Ana (AE),Email,Demo Scheduled,0
ACT-000341,2025-09-10,D-00143,Bruno (AE),Email,Demo Scheduled,0
ACT-000342,2026-02-08,D-00432,Carla (AE),Call,Connected,22
ACT-000343,2025-05-25,D-00121,Eva (SDR),Email,Connected,0
ACT-000344,2025-11-20,D-00435,Diego (AE),Call,Connected,14
ACT-000345,2026-01-30,D-00489,Bruno (AE),Demo,Connected,51
ACT-000346,2026-02-05,D-00145,Eva (SDR),Call,Connected,58
ACT-000347,2025-07-22,D-00154,Carla (AE),Email,Connected,0
ACT-000348,2025-06-20,D-00307,Carla (AE),Email,No Answer,0
ACT-000349,2025-12-23,D-00014,Ana (AE),Call,Connected,9
ACT-000350,2025-07-13,D-00178,Carla (AE),Call,No Answer,59
ACT-000351,2026-02-11,D-00466,Carla (AE),Demo,Follow-up,34
ACT-000352,2025-08-06,D-00434,Diego (AE),Email,Connected,0
ACT-000353,2025-05-21,D-00387,Bruno (AE),WhatsApp,No Answer,0
ACT-000354,2025-12-16,D-00058,Bruno (AE),Email,Demo Scheduled,0
ACT-000355,2026-01-28,D-00080,Ana (AE),Meeting,No Answer,56
ACT-000356,2025-05-31,D-00390,Eva (SDR),Call,No Answer,59
ACT-000357,2025-04-30,D-00200,Carla (AE),Call,Connected,47
ACT-000358,2025-12-07,D-00029,Diego (AE),Email,Follow-up,0
ACT-000359,2025-08-16,D-00067,Carla (AE),Meeting,Demo Scheduled,44
ACT-000360,2025-05-03,D-00193,Eva (SDR),Call,Sent Proposal,35
ACT-000361,2025-11-14,D-00276,Bruno (AE),Demo,Follow-up,66
ACT-000362,2025-11-15,D-00047,Bruno (AE),Email,Sent Proposal,0
